Title,Location,Price,Area,Rooms
                        Apartment Rapenburgerstraat 155 D                            ,            1011 VM Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,200 per month            ",75 m²,3 rooms
                        Apartment Eerste Sweelinckstraat                            ,            1073 CM Amsterdam (Oude Pijp)        ,"                €2,825 per month            ",98 m²,4 rooms
                        Apartment Reijnier Vinkeleskade 64 D                            ,            1071 SX Amsterdam (Museumkwartier)        ,"                €5,000 per month            ",120 m²,4 rooms
                        Apartment Waldeck Pyrmontlaan 4 IV                            ,            1075 BV Amsterdam (Willemspark)        ,"                €3,500 per month            ",120 m²,3 rooms
                        Apartment Hagedoornplein 20                            ,            1031 BV Amsterdam (Volewijck)        ,"                €4,000 per month            ",141 m²,5 rooms
                        Apartment Javastraat 48 2                            ,            1094 HJ Amsterdam (Indische Buurt West)        ,"                €1,750 per month            ",55 m²,2 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Omval                            ,            1096 AA Amsterdam (Omval/Overamstel)        ,"                €2,250 per month            ",97 m²,3 rooms
                        Apartment Tweede van Swindenstraat 186 H                            ,            1093 XA Amsterdam (Dapperbuurt)        ,"                €2,750 per month            ",75 m²,3 rooms
                        Apartment Binnenkant                            ,            1011 BR Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,750 per month            ",63 m²,2 rooms
                        Apartment Kalkmarkt                            ,            1011 BC Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,995 per month            ",125 m²,5 rooms
                        Apartment Kalkmarkt                            ,            1011 BC Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,750 per month            ",95 m²,3 rooms
                        Apartment De Clercqstraat                            ,            1052 NH Amsterdam (Da Costabuurt)        ,"                €2,150 per month            ",67 m²,1 room
                        Studio Windjammerdijk                            ,            1086 VC Amsterdam (IJburg West)        ,"                €1,600 per month            ",65 m²,1 room
                        Apartment Cliostraat                            ,            1077 KA Amsterdam (Apollobuurt)        ,"                €2,250 per month            ",70 m²,3 rooms
                        Apartment Hoofdweg                            ,            1055 SC Amsterdam (De Kolenkit)        ,"                €2,150 per month            ",100 m²,3 rooms
                        Apartment Willem Frederik Hermansstraat                            ,            1011 DG Amsterdam (Nieuwmarkt/Lastage)        ,"                €5,000 per month            ",170 m²,5 rooms
                        Apartment Falckstraat 49 3                            ,            1017 VV Amsterdam (De Weteringschans)        ,"                €3,500 per month            ",140 m²,4 rooms
                        Apartment Kleiburg 518                            ,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",75 m²,3 rooms
                        Apartment Ponserstraat 26                            ,            1033 DL Amsterdam (Tuindorp Oostzaan)        ,"                €1,850 per month            ",60 m²,2 rooms
                        Apartment Willem Frederik Hermansstraat                            ,            1011 DG Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,150 per month            ",68 m²,2 rooms
                        Apartment IJburglaan                            ,            1087 EN Amsterdam (IJburg West)        ,"                €2,500 per month            ",96 m²,3 rooms
                        Apartment Zeeburgerdijk                            ,            1094 AJ Amsterdam (Indische Buurt West)        ,"                €2,000 per month            ",68 m²,3 rooms
                        Apartment Eerste Nassaustraat                            ,            1052 BH Amsterdam (Staatsliedenbuurt)        ,"                €2,950 per month            ",100 m²,3 rooms
                        Apartment Ridderspoorweg                            ,            1032 LL Amsterdam (Noordelijke IJ-oevers West)        ,"                €3,250 per month            ",98 m²,3 rooms
                        Apartment Dusartstraat                            ,            1072 HT Amsterdam (Nieuwe Pijp)        ,"                €2,150 per month            ",67 m²,2 rooms
                        Apartment Jan van Duivenvoordestraat 157                            ,            1067 MT Amsterdam (Geuzenveld)        ,"                €2,100 per month            ",94 m²,3 rooms
                        Apartment Koninginneweg 225 2                            ,            1075 CS Amsterdam (Willemspark)        ,"                €3,450 per month            ",75 m²,3 rooms
